number,prime_awareness,prime_difficulty,prime_correctness,target_difficulty,target_correctness,fixation_time,prime_time,prime,mask_time,mask,target
26,осознаваемый,простой,верно,сложный,верно,600,300,2*5=10,250,,337 * 834 = 281058
27,осознаваемый,простой,неверно,сложный,неверно,600,300,7*6=49,250,,843 * 135 = 114805
28,осознаваемый,простой,неверно,сложный,верно,600,300,8*7=54,250,,134 * 878 = 117652
29,осознаваемый,простой,неверно,сложный,неверно,600,300,7*2=16,250,,212 * 815 = 171780
30,осознаваемый,простой,неверно,сложный,верно,600,300,4*3=16,250,,654 * 631 = 412674
31,осознаваемый,простой,верно,сложный,верно,600,300,7*3=21,250,,165 * 798 = 131670
32,осознаваемый,простой,верно,сложный,верно,600,300,8*5=40,250,,914 * 928 = 848192
33,осознаваемый,простой,верно,сложный,неверно,600,300,7*8=56,250,,925 * 347 = 320175
34,осознаваемый,простой,верно,сложный,неверно,600,300,6*5=30,250,,285 * 421 = 119885
35,осознаваемый,простой,неверно,сложный,неверно,600,300,9*8=63,250,,488 * 775 = 379200
36,осознаваемый,простой,неверно,сложный,верно,600,300,3*5=25,250,,148 * 784 = 116032
37,осознаваемый,простой,неверно,сложный,неверно,600,300,4*8=30,250,,278 * 781 = 219118
38,осознаваемый,простой,верно,сложный,неверно,600,300,5*4=20,250,,264 * 578 = 151592
39,осознаваемый,простой,верно,сложный,верно,600,300,9*9=81,250,,719 * 965 = 693835
40,осознаваемый,простой,неверно,сложный,верно,600,300,6*3=16,250,,548 * 618 = 338664
41,осознаваемый,простой,верно,сложный,неверно,600,300,2*9=18,250,,564 * 574 = 326736
42,осознаваемый,простой,неверно,сложный,неверно,600,300,5*8=42,250,,198 * 857 = 160686
43,осознаваемый,простой,неверно,сложный,верно,600,300,5*9=40,250,,886 * 164 = 145304
44,осознаваемый,простой,верно,сложный,верно,600,300,6*2=12,250,,861 * 905 = 779205
45,осознаваемый,простой,верно,сложный,неверно,600,300,9*7=63,250,,694 * 207 = 143558
46,осознаваемый,простой,неверно,сложный,неверно,600,300,9*6=56,250,,245 * 541 = 132045
47,осознаваемый,простой,верно,сложный,верно,600,300,7*6=42,250,,672 * 301 = 202272
48,осознаваемый,простой,верно,сложный,верно,600,300,3*8=24,250,,731 * 621 = 453951
49,осознаваемый,простой,неверно,сложный,верно,600,300,3*6=12,250,,746 * 918 = 684828
50,осознаваемый,простой,неверно,сложный,неверно,600,300,7*8=64,250,,524 * 426 = 223624
51,осознаваемый,простой,верно,сложный,неверно,600,300,9*3=27,250,,859 * 534 = 456706
52,осознаваемый,простой,неверно,сложный,неверно,600,300,3*4=15,250,,766 * 904 = 691464
53,осознаваемый,простой,неверно,сложный,верно,600,300,6*2=18,250,,521 * 372 = 193812
54,осознаваемый,простой,верно,сложный,неверно,600,300,5*9=45,250,,871 * 329 = 285559
55,осознаваемый,простой,верно,сложный,верно,600,300,6*3=18,250,,842 * 675 = 568350
56,осознаваемый,простой,верно,сложный,верно,600,300,9*2=18,250,,452 * 239 = 108028
57,осознаваемый,простой,верно,сложный,неверно,600,300,7*4=28,250,,721 * 982 = 707022
58,осознаваемый,простой,верно,сложный,верно,600,300,5*3=15,250,,946 * 517 = 489082
59,осознаваемый,простой,неверно,сложный,неверно,600,300,6*8=56,250,,316 * 892 = 282872
60,осознаваемый,простой,верно,сложный,верно,600,300,2*8=16,250,,662 * 169 = 111878
